#{"t_start": 1659033139.3186657, "env_id": "LunarLander-v3"}
r,l,t
-127.45849,70,12.155957
-95.469357,97,12.438138
-427.252818,109,12.758196
-365.700315,115,13.151752
-104.028764,72,13.370133
-258.660316,118,13.743747
-96.60324,68,13.944532
-79.198978,104,14.261433
-9.564056,122,14.62581
-269.120161,106,14.946189
-117.381256,96,15.240997
-7.237765,77,15.481402
-161.205788,115,15.838124
-100.122299,99,16.14083
-227.346482,97,16.458951
-318.197403,102,16.781536
-100.932547,127,17.185561
-107.28244,78,17.429599
-102.774964,116,17.811636
-90.102308,66,18.023917
-153.730022,80,18.274811
-157.002368,83,18.528358
-187.297879,96,18.826167
-100.753991,67,19.028354
-136.128219,134,19.45392
-93.912662,103,19.787201
-116.512227,69,20.010155
-88.472289,75,20.275747
-85.154317,149,20.755512
-71.393107,68,20.975774
-99.703091,87,21.269337
-141.249917,105,21.619774
-111.442114,119,22.006768
-86.918095,96,22.299181
-82.914447,115,22.641373
-55.887592,134,23.064154
-78.44366,132,23.496063
-40.308439,152,23.994339
-73.273845,127,24.395693
-8.330997,116,24.766758
-35.059172,89,25.037548
-73.664657,122,25.426247
-20.343251,155,25.919766
-80.799491,169,26.472196
-31.154042,125,26.892018
-49.800962,78,27.140834
-44.021394,109,27.48902
-58.649668,154,27.996547
-55.673547,68,28.220441
-63.538359,227,28.987978
-81.293675,103,29.308141
-41.314993,126,29.748286
-72.92212,97,30.098011
-14.437525,232,30.899231
-3.502876,114,31.275036
-70.446358,107,31.611238
-15.451224,176,32.195785
-27.39683,144,32.659938
-71.747327,110,33.021297
-27.917417,100,33.357728
22.23644,121,33.767328
-24.421251,77,34.020639
-180.874264,472,35.806904
-238.413194,456,37.521798
29.833867,1500,44.64709
-16.836591,93,44.98152
-115.162518,293,46.033247
10.973673,1500,50.358203
51.628545,1500,53.322274
36.713414,234,53.517318
-212.663968,780,54.627164
-307.921168,1072,56.712093
-40.586443,1500,65.547618
-95.20164,1500,72.97838
-78.881743,1500,81.273252
-117.706357,1500,87.797744
118.424198,1500,95.517498
-30.772369,1500,102.211549
191.888003,1500,107.479393
137.984826,1500,108.982284
152.891625,1500,110.908177
144.656055,1500,112.530363
80.510567,1500,114.199017
149.232055,1500,121.144095
153.774371,1500,127.404216
144.496916,1500,133.574236
131.419871,1500,140.514518
114.707999,1500,146.736495
178.035251,1500,153.01019
99.815774,1500,160.139613
107.31951,1500,163.254193
77.704224,1500,166.365336
78.215591,1500,169.033989
139.160681,1500,171.682408
170.526688,1500,178.013841
120.636494,1500,184.533439
138.243008,1500,190.744219
161.471341,1500,196.81629
104.13268,1500,203.569988
188.779985,1500,209.566833
118.935102,1500,216.489639
110.060088,1500,218.885387
91.822808,1500,221.396503
93.52001,1500,224.122757
81.04025,1500,226.232923
157.440196,1500,232.869439
127.899432,1500,239.653625
137.203057,1500,245.747489
146.540457,1500,252.203118
103.734159,1500,259.465137
35.786136,188,260.124834
95.424504,1500,266.409177
-96.814472,195,270.091653
-75.840251,184,270.237182
-70.561487,160,270.346881
61.846799,1500,272.830361
138.459671,1500,275.575916
88.145749,1500,282.569477
128.974712,1500,288.482037
140.714977,1500,294.591547
153.191335,1500,301.105148
-58.540645,187,301.792601
134.937716,1500,307.784607
106.732971,1500,314.11196
-5.886041,147,314.641024
111.186406,1500,320.451469
148.564998,1500,321.8639
162.70939,1500,323.486025
186.959995,1500,324.653204
-11.040952,1500,327.180174
-59.114194,193,327.892731
99.875943,1500,334.599372
43.625428,1500,341.634319
-31.909279,1500,350.444851
141.859349,1500,357.217174
125.700399,1500,363.182946
148.85832,1500,369.779954
121.495477,1500,375.775228
-328.590856,118,375.866814
128.620139,1500,378.425236
-352.827869,127,378.528301
103.144163,1500,381.314988
146.965663,1500,387.744233
-558.433009,225,388.557494
143.122486,1500,395.035081
151.812764,1500,401.879495
180.94783,1500,407.961417
123.131391,1500,414.236272
176.105211,1500,420.199004
165.163536,1500,425.485582
165.022333,1500,427.119417
-336.859406,93,427.187711
175.720687,1500,428.99143
191.940853,1500,430.617247
124.883954,1500,436.778687
140.73945,1500,442.718096
146.012672,1500,449.381362
130.144568,1500,455.596275
-582.761343,78,455.887627
143.223826,1500,462.457118
138.372256,1500,468.577545
116.061122,1500,473.634982
97.388025,1500,475.886626
144.241487,1500,477.794656
187.3402,1500,479.709024
168.808832,1500,481.349122
7.531419,142,481.866729
127.24743,1500,488.882647
142.866276,1500,495.099763
152.160126,1500,501.411122
90.577654,1500,508.022004
160.512718,1500,514.154038
124.560032,1500,520.179111
110.298814,1500,527.267356
50.963054,1500,531.092223
116.693039,1500,533.239477
10.590012,1500,536.775949
81.948753,1500,538.959648
