#{"t_start": 1658946724.7106113, "env_id": "LunarLander-v3"}
r,l,t
-132.614555,68,0.175013
-278.237559,96,0.427869
-102.917886,67,0.599824
-166.203145,137,0.947224
-158.233715,58,1.098689
-118.192358,109,1.381049
-93.72921,79,1.582587
-104.113081,111,1.869095
-198.06164,80,2.079212
-125.913879,132,2.424716
-84.509804,76,2.633012
-88.070592,72,2.830494
-98.750481,75,3.014042
-145.554628,131,3.357892
-133.732207,78,3.561908
-186.537975,73,3.751017
-68.055707,67,3.923025
-98.115423,138,4.278675
-283.13435,115,4.579366
-148.78591,103,4.84813
-189.151773,92,5.089324
-101.774881,99,5.341405
-109.303053,89,5.579334
-360.303775,121,5.893094
-78.240777,99,6.171056
2.866718,105,6.447665
-187.740498,116,6.752534
-85.337181,78,6.950326
-73.333347,109,7.243995
-60.812878,71,7.42378
-185.017422,96,7.674883
-99.781527,71,7.865047
-153.54825,136,8.237957
-111.088531,89,8.473252
-87.847278,89,8.72061
-64.864684,67,8.887295
62.845161,1500,14.198792
-75.440471,106,14.497064
-198.638011,135,14.866207
-90.495054,289,15.692448
-17.543856,176,16.233258
-11.18686,137,16.611788
19.292129,159,17.089531
1.378279,105,17.382195
-52.670739,162,17.836566
-44.445066,108,18.140754
-24.762178,192,18.68853
-56.683754,137,19.063267
-72.690926,240,19.748532
-51.948877,77,19.957759
14.219714,309,20.864246
-12.422492,147,21.289777
-188.101973,1500,27.414894
-169.634315,1500,34.050652
-169.898908,1500,36.479853
-149.434962,1500,38.613061
-126.956848,1500,41.241783
-149.085314,1500,43.595556
-173.921877,1500,51.2372
-138.590169,1500,57.965709
-112.383401,1500,65.664147
-79.26328,1500,73.276144
-161.076465,273,74.126962
-181.155934,442,75.574881
-184.081088,1500,82.24463
-62.084211,1500,88.521699
-117.192386,1500,92.303935
-78.815398,1500,94.280282
-102.715047,1500,96.364233
-108.475206,1500,101.000531
-145.610371,1500,103.54859
-110.783785,1500,109.861846
-157.128,1500,116.130753
-100.673317,1500,121.878068
-160.746573,1500,127.734393
-104.138284,1500,134.159437
-98.427161,1500,139.9348
-113.001385,1500,147.437299
-127.166747,1500,151.003089
-137.134465,154,151.097259
-146.699925,1500,154.57339
-138.981661,1500,157.492218
-148.466835,1500,163.851054
-213.704292,1500,169.929391
-166.076086,1500,178.000105
-150.868294,1500,184.072517
-155.222976,1500,190.26421
-143.575494,1500,196.57052
-90.699352,1500,202.870743
-134.58507,1500,205.617653
-134.919299,1500,209.146216
-119.435827,1500,212.402431
-122.235418,1500,214.762604
-109.134124,1500,221.902252
-111.39437,1500,227.593945
-113.624979,1500,233.925394
-109.873493,1500,241.483481
-108.128958,1500,248.805764
-109.423032,1500,255.566304
-100.233376,1500,262.419492
-122.947373,1500,267.708012
-117.186626,1500,271.801377
-116.109819,1500,274.360342
-80.295557,1500,277.952667
-84.9154,1500,284.526182
-111.680864,1500,291.534963
-109.763662,1500,299.281375
-150.712862,1500,306.11702
-123.928879,1500,313.39723
-138.887193,1500,320.319695
-85.08242,1500,327.188864
-106.654592,1500,331.37975
-117.949017,1500,334.260624
-94.350895,1500,337.708305
-108.079584,1500,342.195219
-123.252626,1500,348.55255
-122.083688,1500,356.162265
78.754099,1500,361.483639
-102.673819,1500,366.956127
38.674597,174,367.475199
-1.231011,258,368.255871
106.748319,1500,373.374847
-100.820058,1500,379.900151
-114.513845,152,381.99943
-175.015949,1500,386.471714
110.621927,1500,388.592263
-139.130951,1500,391.675007
-146.925602,1500,393.922429
-132.979598,1500,401.243719
-131.161077,1500,409.061145
-156.849132,1500,414.449519
-122.808118,1500,421.123371
57.053522,212,421.75723
-122.110439,1500,429.700727
32.922772,622,431.75443
-31.327928,1398,436.878084
-4.881297,186,437.45079
-107.944323,1500,440.542024
-146.808884,1500,443.002071
7.67006,250,443.178537
44.516296,175,443.28949
46.988823,172,443.396014
-304.39157,345,444.47849
18.403426,486,446.034814
-64.6677,269,446.838599
-111.782893,1500,452.52843
38.059259,276,453.386334
-256.157072,184,453.936844
-103.09135,1500,460.90343
24.025593,166,461.401393
-93.338464,1500,466.986078
53.661572,264,467.794866
30.371513,1500,473.360862
-114.522733,1500,480.278574
20.827612,478,481.901511
-133.029153,334,482.300129
-162.580835,1500,487.297335
-241.316965,1024,488.597081
-181.6872,192,488.721021
-129.25773,493,489.151921
61.158142,1500,495.606652
-52.569113,653,497.899971
33.367581,1500,503.707432
162.505248,1500,509.254715
-187.784851,217,509.907417
-86.542357,1500,515.917838
119.415244,1500,522.597727
180.192047,1500,527.963665
160.727524,1500,529.573097
178.622214,1500,530.693762
-80.261995,1500,533.422383
163.833741,1500,535.098123
-3.378516,275,535.304026
