#{"t_start": 1659010723.6439686, "env_id": "LunarLander-v3"}
r,l,t
-127.45849,70,7.04893
-95.469357,97,7.325819
-427.252818,109,7.662218
-365.700315,115,8.000612
-104.028764,72,8.209694
-258.660316,118,8.557187
-96.60324,68,8.75489
-79.198978,104,9.060548
-9.564056,122,9.409733
-269.120161,106,9.722737
-117.381256,96,9.999992
-7.237765,77,10.222388
-161.205788,115,10.564878
-100.122299,99,10.843277
-227.346482,97,11.131755
-318.197403,102,11.419756
-100.932547,127,11.789945
-107.28244,78,12.015364
-102.774964,116,12.361101
-90.102308,66,12.566505
-153.730022,80,12.800303
-157.002368,83,13.05247
-187.297879,96,13.351518
-100.753991,67,13.543508
-136.128219,134,13.953785
-93.912662,103,14.263751
-116.512227,69,14.465881
-88.472289,75,14.698498
-85.154317,149,15.141126
-71.393107,68,15.34158
-99.703091,87,15.600628
-141.249917,105,15.906763
-111.442114,119,16.261913
-86.918095,96,16.549585
-82.914447,115,16.88026
-55.887592,134,17.298127
-78.44366,132,17.709478
-40.308439,152,18.183038
-73.273845,127,18.577788
-8.330997,116,18.944432
-35.059172,89,19.212197
-73.664657,122,19.583412
-20.343251,155,20.062124
-80.799491,169,20.586252
-31.154042,125,21.000694
-49.800962,78,21.243504
-44.021394,109,21.587124
-58.649668,154,22.069817
-55.673547,68,22.286066
-63.538359,227,23.011976
-81.293675,103,23.314618
-41.314993,126,23.705141
-72.92212,97,24.00115
-14.437525,232,24.74548
-3.502876,114,25.097955
-70.446358,107,25.576074
-15.451224,176,26.139555
-27.39683,144,26.589227
-71.747327,110,26.937964
-27.917417,100,27.252608
22.23644,121,27.639393
-24.421251,77,27.868619
-180.874264,472,29.571121
-238.413194,456,31.234016
29.833867,1500,38.313473
-16.836591,93,38.625488
-115.162518,293,39.617701
10.973673,1500,43.731135
51.628545,1500,46.618193
36.713414,234,46.81051
-212.663968,780,47.902818
-307.921168,1072,49.936783
-40.586443,1500,58.469179
-95.20164,1500,65.544634
-78.881743,1500,73.588092
-117.706357,1500,79.856826
118.424198,1500,87.281042
-30.772369,1500,93.66993
191.888003,1500,98.721062
137.984826,1500,100.146469
152.891625,1500,101.899724
144.656055,1500,103.444695
80.510567,1500,104.998397
149.232055,1500,111.554738
153.774371,1500,117.350487
144.496916,1500,123.051651
131.419871,1500,129.620228
114.707999,1500,135.47393
178.035251,1500,141.500984
99.815774,1500,148.415936
107.31951,1500,151.464213
77.704224,1500,154.564211
78.215591,1500,157.14595
139.160681,1500,159.733549
170.526688,1500,165.822166
120.636494,1500,172.039022
138.243008,1500,177.955565
161.471341,1500,183.744314
104.13268,1500,190.153111
188.779985,1500,195.870216
118.935102,1500,202.594819
110.060088,1500,204.910455
91.822808,1500,207.314694
93.52001,1500,209.88871
81.04025,1500,211.902772
157.440196,1500,218.226496
127.899432,1500,224.668411
137.203057,1500,230.476605
146.540457,1500,236.665601
103.734159,1500,243.676745
35.786136,188,244.312314
95.424504,1500,250.358979
-96.814472,195,253.801934
-75.840251,184,253.945466
-70.561487,160,254.056477
61.846799,1500,256.416624
138.459671,1500,259.069528
88.145749,1500,265.745396
128.974712,1500,271.296151
140.714977,1500,277.083868
153.191335,1500,283.331071
-58.540645,187,283.984756
134.937716,1500,289.676995
106.732971,1500,295.678036
-5.886041,147,296.183717
111.186406,1500,301.73846
148.564998,1500,303.094833
162.70939,1500,304.634192
186.959995,1500,305.764705
-11.040952,1500,308.182095
-59.114194,193,308.848471
99.875943,1500,315.318701
43.625428,1500,322.179425
-31.909279,1500,330.629359
141.859349,1500,337.054622
125.700399,1500,342.710859
148.85832,1500,348.940274
121.495477,1500,354.582004
-328.590856,118,354.678565
128.620139,1500,357.124694
-352.827869,127,357.220959
103.144163,1500,359.883347
146.965663,1500,366.021798
-558.433009,225,366.801238
143.122486,1500,373.046711
151.812764,1500,379.600688
180.94783,1500,385.345502
123.131391,1500,391.358983
176.105211,1500,397.15067
165.163536,1500,402.200181
165.022333,1500,403.796768
-336.859406,93,403.860079
175.720687,1500,405.617886
191.940853,1500,407.14497
124.883954,1500,412.861184
140.73945,1500,418.49418
146.012672,1500,424.753526
130.144568,1500,430.39287
-582.761343,78,430.661139
143.223826,1500,436.794628
138.372256,1500,442.624794
116.061122,1500,447.317529
97.388025,1500,449.506054
144.241487,1500,451.303892
187.3402,1500,453.115873
168.808832,1500,454.671044
7.531419,142,455.161339
127.24743,1500,461.833466
142.866276,1500,467.545787
152.160126,1500,473.430174
90.577654,1500,479.662411
160.512718,1500,485.408691
124.560032,1500,490.990562
110.298814,1500,497.443506
50.963054,1500,501.067572
116.693039,1500,503.05124
10.590012,1500,506.421712
81.948753,1500,508.502094
